"District","DisCode","Year","enrollment","firstlang_per","ell_per","swd_per","highneeds_per","ecodis_per","black_per","asian_per","hispanic_per","white_per","native_per","hawaiiPI_per","multiNonHispanic_per"
"Medfield","01750000",2019,2600,2.9,1.2,12.4,17.1,5,1,4.2,3.9,87.3,0.3,0,3.3
"Medford","01760000",2019,4232,25.6,10.6,18.8,48.4,28.9,12.8,9.6,12.7,59.6,0.4,0.1,4.8
"Medway","01770000",2019,2222,1.9,1.3,16.6,24.6,10.1,1.5,2.8,3.9,89.3,0.1,0.1,2.3
"Melrose","01780000",2019,3945,12.9,4.6,14.4,26.5,10.5,5.3,5.8,4.9,79,0,0,5
"Mendon-Upton","07100000",2019,2302,4.1,1.7,15.2,23.7,9.1,0.5,2.2,4.3,90.5,0.1,0,2.4
"Methuen","01810000",2019,6927,27.5,9.4,18.6,50.8,34.5,2,3.9,41.3,47.9,0.1,0.1,4.7
"Middleborough","01820000",2019,2976,2,1,19.6,41.1,29,2.5,1.1,3.1,88.6,0.9,0,3.8
"Middleton","01840000",2019,700,2,1,16.7,23.4,7.6,0.7,4.7,3.4,86.3,1,0.1,3.7
"Milford","01850000",2019,4277,33.2,16.3,15.4,51.9,33.2,2.9,2.1,28.4,61.4,1.5,0,3.5
"Millbury","01860000",2019,1692,8.2,4.4,16.1,40.9,26.4,2.8,3.4,7.4,81.2,0,0.1,5
"Millis","01870000",2019,1223,2.1,1.1,13.3,24.1,11.8,1.1,2.2,7.9,84.6,0.2,0.1,3.8
"Milton","01890000",2019,4265,8.9,1.8,14.5,23.5,8.9,14.2,7.2,4.4,69.4,0.1,0.1,4.6
"Minuteman Regional Vocational Technical","08300000",2019,515,7.4,2.1,46.8,57.5,21.2,3.3,5.4,7.2,79.2,0.2,0,4.7
"Mohawk Trail","07170000",2019,904,0.9,0.3,21.9,46.7,34.6,0.4,0.4,4.5,91.5,0.1,0.1,2.9
"Monomoy Regional School District","07120000",2019,1891,9,4.2,15.7,38.7,25.3,6.6,1.4,7.2,78.4,0.6,0.2,5.6
"Monson","01910000",2019,917,2.7,1.1,15.5,36.6,26.9,0.9,1.1,3.7,91.5,0.1,0.5,2.2
"Montachusett Regional Vocational Technical","08320000",2019,1422,5.3,0.6,14.8,35.7,23.8,2,1.5,16.2,76.4,0.1,0,3.8
"Mount Greylock","07150000",2019,1196,0.5,0.3,15.2,27.7,17.9,1.2,1.1,3.6,89.8,0,0,4.3
"Mystic Valley Regional Charter (District)","04700000",2019,1575,40.9,2.3,12.4,32.1,19.1,17.8,21.1,9.3,47.3,0.3,0,4.3
"Nahant","01960000",2019,151,0.7,0,24.5,34.4,17.2,0,0.7,4.6,92.7,0,0,2
"Nantucket","01970000",2019,1670,34.2,16.9,14.2,45.3,21.7,10.4,1.9,31.7,52,0.1,0,4
"Narragansett","07200000",2019,1426,1,0.4,18.2,39.7,28.5,1.3,0.3,6,89.1,0.1,0.1,3.2
"Nashoba","07250000",2019,3228,3.8,2.1,16.2,23.2,7.8,1.3,3.2,4.8,87.6,0.1,0.1,3
"Nashoba Valley Regional Vocational Technical","08520000",2019,684,1.5,0.7,36.7,47.4,18.1,1.6,1.8,4.8,88.9,0.4,0,2.5
"Natick","01980000",2019,5540,11,3.6,14.2,24.2,9.1,2.7,10.3,6,75.6,0.1,0.1,5.2
"Nauset","06600000",2019,1508,3.3,1,16.1,31.8,18.6,5,2.5,4.5,84.3,0.2,0.1,3.4
"Needham","01990000",2019,5721,9.6,2.9,17.2,24.2,5.3,2.9,8.8,5.8,77.3,0.1,0,5.1
"Neighborhood House Charter (District)","04440000",2019,646,24.9,11.5,17.2,57.4,39.3,53.4,2.9,21.5,16.9,0.5,0,4.8
"New Bedford","02010000",2019,12845,40.4,28.7,20.9,80.3,66.1,13.2,0.9,40.3,39.8,0.4,0.1,5.3
"New Heights Charter School of Brockton (District)","35130000",2019,532,11.5,10.7,10.2,54.5,40,89.5,0.9,7,2.1,0.2,0,0.4
"New Salem-Wendell","07280000",2019,149,0,0,17.4,37.6,29.5,0,0,6,85.9,0,0,8.1
"Newburyport","02040000",2019,2232,4.9,1.7,17.1,23.8,8.2,1,1.9,3.5,91.5,0,0,2
"Newton","02070000",2019,12883,25.1,6.5,18.7,33.5,8.7,4.7,19,7.6,62.1,0.1,0,6.5
"Norfolk","02080000",2019,963,4.2,2.1,18.2,24.6,5.1,0.8,2.7,3,90.9,0,0,2.6
"Norfolk County Agricultural","09150000",2019,557,0.2,0.2,20.1,31.8,13.5,1.3,1.3,2.7,90.5,0.4,0.2,3.8
"North Adams","02090000",2019,1365,0.9,0.8,24.6,65.1,57.4,2.6,0.4,6.4,82.6,0.2,0.1,7.6
"North Andover","02110000",2019,4769,8.8,2.2,15.3,28.3,14.6,3.2,8,11,74.3,0.2,0.1,3
"North Attleborough","02120000",2019,4155,8.4,3.1,16,31.4,16.6,3.9,6.8,4.7,80.4,0.2,0.1,3.9
"North Brookfield","02150000",2019,570,0.4,0,22.7,43.3,31.9,0.7,0.2,5.1,90.4,0,0,3.7
"North Middlesex","07350000",2019,3070,1.9,1.1,22.6,35,17.3,1.6,1.5,4.3,89,0.1,0.1,3.3
"North Reading","02170000",2019,2398,1.3,0.5,19.4,25.2,7.8,0.6,4.1,3.4,88.9,0.1,0.1,2.8
"Northampton","02100000",2019,2626,9.4,3.7,21.5,39.4,26.5,2.8,3.9,16.7,69.8,0.2,0,6.6
"Northampton-Smith Vocational Agricultural","04060000",2019,495,4.4,1.6,39,56,32.9,1.2,0.4,14.5,81.8,0,0,2
"Northboro-Southboro","07300000",2019,1450,11.5,1.9,13.9,21.9,6.1,1.2,11.1,5.1,78.6,0.4,0.2,3.3
"Northborough","02130000",2019,1587,15.8,5.2,20.8,33.9,10.8,1.8,12.5,8.2,72.5,0.2,0.6,4.2
"Northbridge","02140000",2019,2077,4.7,2.4,15.3,39.1,29.4,1,0.7,8.3,85.2,0,0.1,4.7
"Northeast Metropolitan Regional Vocational Technical","08530000",2019,1249,16.7,3.4,23,52.4,33.5,2.9,1.2,33.2,60.4,0.1,0.2,2.1
"Northern Berkshire Regional Vocational Technical","08510000",2019,496,0.2,0,17.3,41.5,31.9,0.6,0.2,1.8,94.8,0,0,2.6
"Norton","02180000",2019,2438,2,1.1,19.1,32.8,19.1,2,1.8,3.9,88,0.2,0.1,4
"Norwell","02190000",2019,2192,1.7,0.3,15.7,18.6,3.8,0.5,2.2,1.6,92.9,0.1,0.2,2.6
"Norwood","02200000",2019,3422,23,10.5,20.2,44.7,23.5,11.1,8,12.7,65,0,0.5,2.7
"Oak Bluffs","02210000",2019,435,21.4,17.7,20.5,49.7,23.4,3.7,1.4,24.6,61.6,1.6,0,7.1
"Old Colony Regional Vocational Technical","08550000",2019,550,0.2,0.2,24.9,36.7,16.5,2,0.7,2.5,92.2,0.2,0,2.4
"Old Rochester","07400000",2019,1212,1.3,0.1,11.8,20.2,12,1.9,1.7,2.1,90.6,0.1,0,3.5
"Old Sturbridge Academy Charter Public School (District)","35150000",2019,200,6.5,6.5,14,44,31,5.5,1.5,11.5,81,0,0,0.5
"Orange","02230000",2019,588,2.4,1.9,26.8,65.8,55.4,1.7,0.5,8,85.5,0.2,0,4.1
"Orleans","02240000",2019,218,9.2,8.7,17.4,42.2,27.5,1.8,1.4,7.3,86.2,0.5,0,2.8
"Oxford","02260000",2019,1639,0.5,0.5,16.3,42.2,32.5,2.2,1.7,11.8,79.4,0.1,0.2,4.6
"Palmer","02270000",2019,1335,3.7,2.4,19.6,49.7,39.2,3.1,2.3,10.9,79,0,0,4.8
"Pathfinder Regional Vocational Technical","08600000",2019,648,0,0,29.2,54.8,37.3,1.1,0.3,5.7,89.4,0.5,0,3.1
"Paulo Freire Social Justice Charter School (District)","35010000",2019,275,27.6,10.9,24,88,79.6,3.6,0.4,91.6,4.4,0,0,0
"Peabody","02290000",2019,5973,14,8.9,19.7,48.2,30.3,3.5,1.8,14.6,78.2,0,0,1.8
"Pelham","02300000",2019,135,3,0.7,22.2,36.3,19.3,4.4,2.2,11.1,77,0,0,5.2
"Pembroke","02310000",2019,2797,1.8,1,14.2,24.4,12.4,0.6,1.1,0.4,96.2,0.1,0.1,1.6
"Pentucket","07450000",2019,2437,0.7,0.3,20.5,28,12,0.5,1.3,4.6,91.5,0,0,2.1
"Petersham","02340000",2019,115,0.9,0.9,20.7,42.2,23.5,0,0.9,6.1,89.6,0,0,3.5
"Phoenix Academy Public Charter High School Lawrence (District)","35180000",2019,119,63,26.9,27.7,84,60.5,0,0,93.3,5.9,0.8,0,0
"Phoenix Academy Public Charter High School Springfield (District)","35080000",2019,198,22.7,18.7,32.3,91.9,86.4,17.7,0.5,70.2,8.6,0,0,3
"Phoenix Charter Academy (District)","04930000",2019,201,79.6,58.7,10.9,90,45.8,13.9,0,79.1,6,1,0,0
"Pioneer Charter School of Science (District)","04940000",2019,789,66.4,27.1,9.8,65.9,39.9,26.2,7.7,29.3,33.6,2,0,1.1
"Pioneer Charter School of Science II (PCSS-II) (District)","35060000",2019,362,51.4,24,12.2,57.5,23.2,32.6,13.5,24,28.2,0,0,1.7
"Pioneer Valley","07500000",2019,743,0.5,0.1,19.5,35.6,21.7,0.4,0.4,1.9,93.5,0.1,0,3.6
"Pioneer Valley Chinese Immersion Charter (District)","04970000",2019,529,21.4,3.2,5.5,24.4,15.7,8.3,17.8,7.2,52,0,0,14.7
"Pioneer Valley Performing Arts Charter Public (District)","04790000",2019,400,0.8,0.5,20.5,40,24.5,8.3,1.8,15.8,66.3,0.3,0,7.8
"Pittsfield","02360000",2019,5429,8.1,4.4,21.9,60.9,51.2,11.1,1.3,14.5,63.8,0.3,0.1,8.9
"Plainville","02380000",2019,711,6,4.4,17.2,33.4,19.8,3.9,4.2,7.9,81,0.3,0,2.7
"Plymouth","02390000",2019,7394,3.9,1.6,19.8,36.9,23.2,1.9,1.2,5.2,87,0.2,0,4.4
"Plympton","02400000",2019,199,0,0,18.2,29.1,13.6,0,0,2,97.5,0,0,0.5
"Prospect Hill Academy Charter (District)","04870000",2019,1125,47.1,14,14.9,58.2,39.1,53.8,8.3,21,13,0.3,0.1,3.6
"Provincetown","02420000",2019,125,23.2,19.2,19,58.7,31.2,27.2,0,14.4,51.2,0,0,7.2
"Quabbin","07530000",2019,2118,0.8,0.2,20.6,36.4,23.3,0.8,0.8,4.8,91.5,0.1,0.1,1.9
"Quaboag Regional","07780000",2019,1303,2.5,0.9,17.2,45.7,35.7,0.8,0.2,6.8,88.5,0,0,3.8
"Quincy","02430000",2019,9436,40.9,15.5,18.5,58.9,34.5,6.9,39.5,6.1,43.8,0.2,0.4,3.1
"Ralph C Mahar","07550000",2019,731,2.1,0.8,18.6,46.7,38,2.3,1.9,9.3,82.6,0,0,3.8
"Randolph","02440000",2019,2737,37,15.3,23.5,68.3,44.6,49.9,17.5,15,11.7,0.4,0.3,5.3
"Reading","02460000",2019,4210,2.1,1,17.2,23.5,8.3,2.5,5.3,2.8,86.8,0.1,0,2.3
"Revere","02480000",2019,7544,64.5,22.6,16.1,68.7,47.1,3.4,4.7,55.3,34.3,0.3,0,1.9
"Richmond","02490000",2019,179,1.1,0,6.7,25.7,20.1,1.1,0,7.3,87.7,0,0,3.9
"Rising Tide Charter Public (District)","04830000",2019,656,0.6,0,14.8,22.9,9.5,1.1,2.4,3.4,87.5,0.5,0,5.2
"River Valley Charter (District)","04820000",2019,288,1.7,0,16.7,24,8.7,0.7,3.1,3.8,88.2,0.3,0,3.8
"Rochester","02500000",2019,511,0.6,0.6,18.7,29,14.1,1,0,2.3,91,0,0,5.7
"Rockland","02510000",2019,2228,10.4,6.2,16.8,45.3,32.5,5.3,1.1,14.3,75.3,0,0,4
"Rockport","02520000",2019,888,1.7,1.4,18.6,34.5,19.4,1,1.7,1.7,95.4,0,0,0.2
"Rowe","02530000",2019,66,0,0,24.2,54.5,37.9,0,0,4.5,87.9,0,0,7.6
"Roxbury Preparatory Charter (District)","04840000",2019,1518,20.8,20.8,15.3,72.1,55.8,57.4,0.6,39.9,1.1,0.3,0.3,0.5
"Sabis International Charter (District)","04410000",2019,1577,4.8,4.8,12.9,50.2,38.9,29.4,4.1,41,20,0,0,5.5
"Salem","02580000",2019,3718,29.6,12.5,23.6,62.9,48.2,6.7,3.1,39.3,46,0.1,0,4.8
"Salem Academy Charter (District)","04850000",2019,491,22.4,4.7,13.4,44.6,30.1,9.6,6.1,39.7,42.8,0,0,1.8
"Sandwich","02610000",2019,2510,1.8,1.2,17.8,30.1,15.9,1.2,2.4,2.3,92.6,0.6,0.1,0.8
"Saugus","02620000",2019,2609,18.7,6.2,16.9,46.6,29.7,4.9,5.1,18.7,68.1,0.6,0.1,2.5
"Savoy","02630000",2019,63,0,0,19,61.9,50.8,4.8,0,3.2,92.1,0,0,0
"Scituate","02640000",2019,2991,1.9,0.6,14.2,22.2,10.4,2.6,1,1.5,93.2,0,0,1.6
"Seekonk","02650000",2019,2087,7,3.3,17.2,30.9,13.8,2,3.2,5,86.3,0,0,3.4
"Seven Hills Charter Public (District)","04860000",2019,670,48.5,26.3,14.2,78.5,60.1,45.7,0,44.6,6.9,0,0,2.8
"Sharon","02660000",2019,3588,25.6,4.2,14.2,26.1,7.9,4.8,29,5.2,55.8,0.1,0.1,5
"Shawsheen Valley Regional Vocational Technical","08710000",2019,1294,0.9,0.1,24.8,35.2,14.9,1.1,1.2,4.9,90.6,0.2,0,2
"Sherborn","02690000",2019,413,4.8,2.4,15.6,21.4,4.8,2.4,7.5,3.6,79.9,0,0,6.5
"Shrewsbury","02710000",2019,6207,34.5,3,14,28,10.5,2.9,31.5,8.2,53.3,0.4,0,3.6
"Shutesbury","02720000",2019,128,0,0,15.5,45.7,39.1,1.6,0.8,8.6,82.8,0.8,0,5.5
"Silver Lake","07600000",2019,1755,0.8,0.5,16,27.7,15.9,1.5,1.1,1.8,94.7,0.2,0.1,0.6
"Sizer School: A North Central Charter Essential (District)","04740000",2019,369,2.2,1.4,24.7,50.4,35,6,1.1,23.6,66.9,0.3,0,2.2
"Somerset","02730000",2019,1771,2.4,1.1,16.7,34.4,22,1.1,1.1,4,91.1,0.2,0,2.4
"Somerset Berkley Regional School District","07630000",2019,1037,1.4,0.2,14.8,24.1,12.6,1.1,1.4,3.7,92.5,0.1,0.3,1.1
"Somerville","02740000",2019,4909,48.2,20.5,20.9,60.2,39.2,9.9,6.5,41.4,38.1,0.1,0.1,4
"South Hadley","02780000",2019,1914,7.6,4.6,17.9,38.5,24.9,1.8,2.2,13.7,79.8,0.1,0.1,2.2
"South Middlesex Regional Vocational Technical","08290000",2019,750,29.7,13.2,41.6,72.5,40.8,5.2,0.4,42.8,46.1,1.9,0,3.6
"South Shore Charter Public (District)","04880000",2019,940,36.1,12.2,16.7,47.9,19.6,29.3,5.1,3.8,54.5,0.4,0.1,6.8
"South Shore Regional Vocational Technical","08730000",2019,645,0.9,0.5,29.8,47.4,23.3,2,1.4,5.6,87.4,0,0,3.6
"Southampton","02750000",2019,501,2.2,2,18.7,27.8,12.8,0.2,1.4,5.8,90.2,0.2,0,2.2
"Southborough","02760000",2019,1273,13.4,6.1,15.6,26.8,5.5,0.9,18.9,4.8,69.7,0.2,0.1,5.5
"Southbridge","02770000",2019,2004,35.2,24.3,21.2,79.3,69.7,2,1.4,57.3,37.3,0.2,0.1,1.7
"Southeastern Regional Vocational Technical","08720000",2019,1444,22.8,1,14.5,49.4,32.8,34.5,1.7,12.4,45.7,0.1,0,5.6
"Southern Berkshire","07650000",2019,688,4.2,1.6,19.6,46.5,34.7,0.9,0.1,7.1,86.2,0.7,0,4.9
"Southern Worcester County Regional Vocational Technical","08760000",2019,1131,0.9,0.5,15.4,33.6,23.2,1.1,0.6,9.5,87,0.3,0,1.4
"Southwick-Tolland-Granville Regional School District","07660000",2019,1511,4.6,3.3,16.6,34.8,22.8,1.8,0.9,4.4,90.6,0.3,0,2.1
"Spencer-E Brookfield","07670000",2019,1379,4.4,3.7,23.5,48.1,35.1,2,1,13.3,80.7,0.3,0,2.7
"Springfield","02810000",2019,25297,29.1,17.3,23.5,83.2,76.7,18.9,2.3,66.6,10.2,0.2,0,1.8
"Springfield Preparatory Charter School (District)","35100000",2019,271,28.8,21,17,81.5,72.7,21.4,2.2,63.8,10.3,0,0,2.2
"Stoneham","02840000",2019,2396,12.8,3.5,19.8,34.2,16.1,2.5,5.2,8.5,80,0.2,0,3.7
"Stoughton","02850000",2019,3500,15.6,6.3,16.2,44.7,28.5,23.2,6.2,11.7,53.4,0.1,0.3,5.1
"Sturbridge","02870000",2019,887,1.5,1.2,12.5,24.8,15.6,1.2,1.6,5.9,86,0.5,0.1,4.7
"Sturgis Charter Public (District)","04890000",2019,836,3.2,0.5,13.8,23.9,12.2,2.5,3.5,5.5,85.3,0.5,0.1,2.6
"Sudbury","02880000",2019,2653,5.2,1.9,18.1,23.7,5.2,3.5,9.9,4,75.5,0,0.2,6.8
"Sunderland","02890000",2019,232,13.4,8.2,19.8,46.6,31.5,3.4,8.2,10.8,67.7,0,0,9.9
"Sutton","02900000",2019,1354,2.1,1.3,17.5,25.3,10.4,1,1.3,2.2,91.4,0.1,0,4
"Swampscott","02910000",2019,2212,12.2,5.5,17.5,33,14.9,3.3,2.6,11.1,80.2,0.2,0,2.4
"Swansea","02920000",2019,2084,1.5,0.3,13.4,28.5,19.3,0.8,1.1,2.3,94.3,0.2,0,1.3
"Tantasqua","07700000",2019,1812,1,0.2,10.8,27,19.4,0.7,1,5.2,90.2,0.2,0,2.8
"Taunton","02930000",2019,8003,11.3,5.3,19.4,54.7,43.4,16.6,1.4,12.5,63.9,0.2,0.1,5.2
"TEC Connections Academy Commonwealth Virtual School District","39020000",2019,2143,5.5,1.4,19.4,56.8,46.5,8.2,2.8,15,65.9,0.4,0.2,7.5
"Tewksbury","02950000",2019,3402,4.1,1.4,17.4,30,15.1,3.4,3.6,4.6,87.1,0.1,0,1.2
"Tisbury","02960000",2019,297,35,24.6,16.2,52.5,27.6,5.1,0.3,25.9,60.6,1.3,0,6.7
"Topsfield","02980000",2019,641,0.3,0.3,17.2,19.7,3.6,0.5,1.1,2.3,92.5,0.8,0,2.8
"Tri-County Regional Vocational Technical","08780000",2019,1024,0.5,0.1,31.6,44.2,19.3,0.7,1,5.7,87.9,0.3,0.3,4.2
"Triton","07730000",2019,2421,3.4,1,17,32.9,20.3,1,1.6,3.1,92.2,0.1,0.2,1.9
"Truro","03000000",2019,106,0.9,0.9,16.7,46.3,34.9,7.5,0,10.4,64.2,0,0,17.9
"Tyngsborough","03010000",2019,1640,5.7,2.7,16.7,27.5,11.8,3.7,6.8,4.6,81.5,0.2,0,3.2
"UP Academy Charter School of Boston (District)","04800000",2019,517,53,29.4,19.5,82.8,67.3,44.1,6,44.7,2.5,0,0.2,2.5
"UP Academy Charter School of Dorchester (District)","35050000",2019,724,44.6,30.9,16.4,79.8,63.3,54.8,0.8,40.5,1.1,0.4,0.7,1.7
"Up-Island Regional","07740000",2019,416,7.9,6,22.1,42.9,22.4,1,0.7,5.8,80.8,4.6,0,7.2
"Upper Cape Cod Regional Vocational Technical","08790000",2019,703,0,0,21.5,39.7,24.2,4.7,1.7,2.7,84.8,0.7,0,5.4
"Uxbridge","03040000",2019,1722,4.1,1.6,17.1,32,18.9,1.5,1.4,4.6,90,0.5,0.1,2
"Veritas Preparatory Charter School (District)","04980000",2019,347,28.5,11.8,17.9,79,71.5,17,1.4,74.1,4.9,0.3,0,2.3
"Wachusett","07750000",2019,7103,3,1.7,15.1,25.1,10.3,2.2,2.9,5.4,87.2,0.1,0,2.2
"Wakefield","03050000",2019,3485,5.5,2.3,15.8,27.2,12.2,2.9,3.6,6.8,83.2,0.2,0.3,3.1
"Wales","03060000",2019,147,0,0,20.9,47.3,34.7,2,0.7,1.4,92.5,0.7,0,2.7
"Walpole","03070000",2019,3753,9.9,3.1,13.9,24.7,9.7,3.4,6.4,5.4,81.9,0.3,0,2.6
"Waltham","03080000",2019,5633,47.9,22.7,15.5,54.2,33.7,9.7,5.3,40.7,41.9,0.1,0,2.3
"Ware","03090000",2019,1189,2.4,1.2,20,58.2,51.1,1.7,0.7,5.7,87.9,0.1,0.2,3.8
"Wareham","03100000",2019,2126,2.4,1.3,26.1,60.7,50.8,8.6,1.1,8,69.9,1.2,0.1,11
"Watertown","03140000",2019,2608,36.3,12.5,21.4,46.9,24.9,3.8,7.9,17.2,64.9,0.5,0.1,5.7
"Wayland","03150000",2019,2695,11.2,4.5,18.7,26.5,5.7,5.1,15.5,4.5,69.1,0,0.2,5.5
"Webster","03160000",2019,1831,13.1,9.6,21.3,62.3,52.9,5.4,2.1,27.2,58.2,0.1,0.1,6.9
"Wellesley","03170000",2019,4963,6.9,2.3,16,23.2,5.6,3.7,14.2,5.1,70.2,0.1,0,6.7
"Wellfleet","03180000",2019,105,1.9,1,17.9,37.7,28.6,2.9,1,2.9,82.9,0,0,10.5
"West Boylston","03220000",2019,890,6.2,3.7,16.4,34.4,20.2,3,1.8,10.8,80,0.1,0,4.3
"West Bridgewater","03230000",2019,1352,2.3,1.6,10.4,24.4,15.6,4.7,1,3.3,86.3,0.4,0.1,4.3
"West Springfield","03320000",2019,4113,31.1,11.2,18.5,56.6,44.5,3.5,8.2,19.2,66.3,0.1,0,2.7
"Westborough","03210000",2019,3925,29,11.5,14.9,34.2,8.2,1.9,34.2,6.5,54.4,0.1,0.1,2.9
"Westfield","03250000",2019,5327,11.1,5.8,18.4,49.3,37.7,2.3,3.3,15.4,76.4,0.1,0,2.4
"Westford","03260000",2019,5069,13.8,1.7,14.7,21.6,5.2,0.9,26.8,1.8,66.6,0.1,0,3.8
"Westhampton","03270000",2019,121,2.5,0.8,21.3,32,14,0,0.8,4.1,94.2,0,0,0.8
"Weston","03300000",2019,2103,9.6,3.2,17.1,26.3,5.2,6.3,17.2,6.1,64.9,0.2,0,5.3
"Westport","03310000",2019,1438,2.2,0.8,17.9,36.4,24.1,0.3,0.6,3.5,91.2,0.3,0,4.2
"Westwood","03350000",2019,3084,5.2,0.9,16.9,22.4,4.8,2.2,10.8,3.7,79.5,0,0,3.9
"Weymouth","03360000",2019,5857,11.8,3.8,19.2,43.2,28.6,6.7,6.3,9.3,73.4,0.2,0.1,4
"Whately","03370000",2019,139,2.9,2.9,12.2,36.7,25.9,0.7,0.7,5,91.4,0,0,2.2
"Whitman-Hanson","07800000",2019,3822,2,1.2,15.1,31.5,20.2,2.4,1.2,4.7,88.3,0.4,0.1,2.8
"Whittier Regional Vocational Technical","08850000",2019,1246,5.1,1.1,22.8,46.2,28.2,2.3,1,20.9,71.9,0.3,0,3.5
"Williamsburg","03400000",2019,147,3.4,2.7,17.7,37.4,25.9,2,1.4,4.8,91.8,0,0,0
"Wilmington","03420000",2019,3197,2.9,0.9,19,26.5,9.2,1.3,5.1,4.3,85.7,0.1,0,3.4
"Winchendon","03430000",2019,1265,2.6,0.7,18.2,50.2,40.9,1.5,2.3,7.3,85,0.1,0.1,3.8
"Winchester","03440000",2019,4639,16.8,2.5,17.3,25.7,5,1,17.4,3.4,72,0.2,0,6
"Winthrop","03460000",2019,1983,21.6,7.8,15.8,42.2,24.3,1.4,0.8,15.6,80.5,0.1,0,1.6
"Woburn","03470000",2019,4524,19.3,8.2,16.3,42.6,25.1,7.4,7.5,10.3,71,0.6,0.2,3.1
"Worcester","03480000",2019,25415,57.5,32.8,19.4,79.4,57.9,16.3,6.7,42.9,29.6,0.2,0,4.3
"Worthington","03490000",2019,74,0,0,20.3,50,39.2,0,0,4.1,89.2,2.7,0,4.1
"Wrentham","03500000",2019,1009,2.9,2.3,16.5,25.2,9.9,1.5,2.6,4.1,86.9,0.3,0.1,4.6
"Abby Kelley Foster Charter Public (District)","04450000",2020,1425,64.9,11,12.3,56.3,38.7,52.4,3.5,20.8,19.6,0.4,0.1,3.2
"Abington","00010000",2020,2143,12.7,6.7,16.2,38.4,24.4,4.6,2.6,9.1,82,0.4,0,1.2
"Academy Of the Pacific Rim Charter Public (District)","04120000",2020,527,32.4,11.4,25.2,66,41.4,60.3,1.1,28.7,8.3,0,0,1.5
"Acton-Boxborough","06000000",2020,5411,20.7,5.2,15.7,27.5,7.1,2.7,33,5.9,53.2,0.2,0.1,4.9
"Acushnet","00030000",2020,1010,1.3,0.9,13.9,35.2,25.7,1.1,0.9,4.2,90.1,0.1,0,3.7
"Advanced Math and Science Academy Charter (District)","04300000",2020,963,24.6,3.3,6.3,24,8.5,2.2,16.9,6.7,67.3,0.2,0,6.6
"Agawam","00050000",2020,3670,11.6,4.6,16.2,42.4,30.1,2.2,3.4,8.8,82.5,0,0,3
"Alma del Mar Charter School (District)","04090000",2020,653,46.4,30.9,17.6,77.8,59.3,13.9,0.2,60.2,21.9,0.8,0,3.1
"Amesbury","00070000",2020,2012,3.8,2,22.8,38.2,23.1,1.9,1.2,8.8,84,0.1,0.1,3.8
"Amherst","00080000",2020,1093,31.1,16.4,21.3,49,31.7,9.4,12.4,21.5,49.4,0.3,0.1,6.9
"Amherst-Pelham","06050000",2020,1346,19.2,7.4,21.3,40.6,26.6,8.2,9.4,17.9,54.7,0.1,0.1,9.5
"Andover","00090000",2020,5856,16.4,3.1,20.7,30.9,8.6,2.5,18.9,6.8,68.2,0.1,0.1,3.3
"Argosy Collegiate Charter School (District)","35090000",2020,525,35.6,24.8,17.9,75.4,58.5,13.1,2.1,22.7,57.3,0.2,0.2,4.4
"Arlington","00100000",2020,6047,12.7,4.8,15.9,26.5,7.9,3.4,13,6.1,70.5,0.1,0.1,6.8
"Ashburnham-Westminster","06100000",2020,2354,3.7,1.7,18.9,31,15.6,0.7,0.9,5.1,90.5,0.1,0,2.7
"Ashland","00140000",2020,2849,26,6.7,17.7,34.3,15.7,2.8,15.8,12.3,65.4,0.5,0,3.2
"Assabet Valley Regional Vocational Technical","08010000",2020,1141,15.2,3.9,27,52.5,28.9,1.8,0.5,18.8,76.2,0.3,0,2.4
"Athol-Royalston","06150000",2020,1520,3.6,2.1,24.9,63.1,54,1.8,1,9.3,83.9,0.1,0,3.9
"Atlantis Charter (District)","04910000",2020,1302,25,12.8,13.6,57.3,43.4,5.5,1.8,13.1,75.3,0.2,0.1,4.1
"Attleboro","00160000",2020,5982,14,5.4,16.7,44.3,30.4,6.5,4.6,15.5,66.9,0.2,0.1,6.2
"Auburn","00170000",2020,2636,8.3,2.5,10.3,30.2,19.5,2.2,4.1,9.6,80.6,0.1,0,3.5
"Avon","00180000",2020,725,8.4,3.7,17.3,44.7,29.2,30.1,5.1,10.1,47.7,0.3,0,6.8
"Ayer Shirley School District","06160000",2020,1682,9.1,3.4,20.8,41.4,25.6,3.8,2.7,10.8,76.2,0.8,0.3,5.5
"Barnstable","00200000",2020,5041,23.6,12.6,17,53.4,36.7,7.7,1.9,18.3,65.3,0.4,0.2,6.2
"Baystate Academy Charter Public School (District)","35020000",2020,463,23.3,8.9,19.9,75.4,66.3,27.6,0.6,57,12.5,0,0.4,1.7
"Bedford","00230000",2020,2689,18.6,5.8,17.4,31.4,9.3,6.5,18.5,6.7,62.8,0.1,0,5.4
"Belchertown","00240000",2020,2240,2.1,1,19,32.9,19.1,1.7,1.3,4.7,88.5,0.2,0.2,3.4
"Bellingham","00250000",2020,2138,4.6,2,20.9,36.8,20.5,2.3,3,6,85.5,0.1,0.4,2.7
"Belmont","00260000",2020,4700,25.9,8.2,10.7,27.7,7.1,3.1,20.7,3.9,64.3,0.1,0,7.8
"Benjamin Banneker Charter Public (District)","04200000",2020,336,26.2,5.1,14.9,58,49.1,82.4,0.9,9.5,2.4,0.3,0.6,3.9
"Benjamin Franklin Classical Charter Public (District)","04470000",2020,708,20.2,6.6,12.3,28.8,10,3.2,20.5,4.9,66.2,0.4,0,4.7
